ord	freq	form	x	x2
705	27248	Ausgabe	Ausgabe	NN
706	27218	Erfahrungen	Erfahrung	NN
707	27142	www	www	NE
708	27065	Hause	Haus	NN
709	27058	jedes	jed	PIDAT
710	27030	Mitglieder	Mitglied	NN
711	26986	Kultur	Kultur	NN
712	26899	Ja	ja	PTKANT
713	26768	gebracht	bringen	VVPP
714	26729	per	per	APPR
715	26705	inzwischen	inzwischen	ADV
716	26684	geschrieben	schreiben	VVPP
717	26673	bringt	bringen	VVFIN
718	26603	Titel	Titel	NN
719	26572	dessen	d	PRELAT
720	26557	Einsatz	Einsatz	NN
721	26554	Bewegung	Bewegung	NN
722	26534	braucht	brauchen	VVFIN
723	26529	gemeinsam	gemeinsam	ADJD
724	26501	Dazu	dazu	PAV
725	26426	Unter	unter	APPR
726	26417	gleichzeitig	gleichzeitig	ADJD
727	26407	tatsächlich	tatsächlich	ADJD
728	26390	Gewalt	Gewalt	NN
729	26387	unserem	unser	PPOSAT
730	26361	statt	statt	PTKVZ
731	26275	setzt	setzen	VVFIN
732	26252	Seit	seit	APPR
733	26236	läßt	lassen	VVFIN
734	26201	etwas	etwas	PIS
735	26145	Universität	Universität	NN
736	26137	kamen	kommen	VVFIN
737	26072	genommen	nehmen	VVPP
738	26062	zweite	zweit	ADJA
739	26048	letzte	letzt	ADJA
740	25986	Bilder	Bild	NN
741	25980	Reihe	Reihe	NN
742	25920	einen	ein	PIS
743	25874	einzige	einzig	ADJA
744	25821	Kunst	Kunst	NN
745	25813	New	New	NE
746	25800	erreicht	erreichen	VVPP
747	25746	Männer	Mann	NN
748	25725	März	März	NN
749	25675	folgenden	folgend	ADJA
750	25640	somit	somit	ADV
751	25625	Erde	Erde	NN
752	25599	müssen	müssen	VMINF
753	25523	Kommentare	Kommentar	NN
754	25504	wissen	wissen	VVINF
755	25490	Mitte	Mitte	NN
756	25475	Begriff	Begriff	NN
757	25469	Gruppen	Gruppe	NN
758	25423	Nr.	Nr.	NN
759	25422	Wert	Wert	NN
760	25401	nahm	nehmen	VVFIN
761	25287	Freiheit	Freiheit	NN
762	25286	Projekt	Projekt	NN
763	25270	hohen	hoch	ADJA
764	25253	Bevölkerung	Bevölkerung	NN
765	25207	Idee	Idee	NN
766	25202	Februar	Februar	NN
767	25183	mindestens	mindestens	ADV
768	25166	hab	haben	VAIMP
769	25154	Jahres	Jahr	NN
770	25143	ziemlich	ziemlich	ADJD
771	24944	usw.	usw.	ADV
772	24937	spricht	sprechen	VVFIN
773	24909	Zusammenarbeit	Zusammenarbeit	NN
774	24864	internationalen	international	ADJA
775	24862	for	for	FM
776	24851	Allerdings	allerdings	ADV
777	24846	anderer	ander	ADJA
778	24796	Mitarbeiter	Mitarbeiter	NN
779	24756	Viele	viel	PIDAT
780	24752	Oder	oder	KON
781	24703	Deshalb	deshalb	PAV
782	24689	nachdem	nachdem	KOUS
783	24641	Lebens	Leben	NN
784	24633	sechs	sechs	CARD
785	24607	vergangenen	vergangen	ADJA
786	24590	Während	während	KOUS
787	24574	d.	d.	PDS
788	24565	Verfahren	Verfahren	NN
789	24549	viele	viel	PIS
790	24527	jeder	jed	PIS
791	24509	Bericht	Bericht	NN
792	24466	Gefahr	Gefahr	NN
793	24460	Ländern	Land	NN
794	24450	Möglichkeiten	Möglichkeit	NN
795	24415	Patienten	Patient	NN
796	24390	ließ	lassen	VVFIN
797	24389	Abend	Abend	NN
798	24385	Aber	aber	ADV
799	24367	Abs.	Abs.	NN
800	24353	Boden	Boden	NN
801	24322	Beitrag	Beitrag	NN
802	24303	lediglich	lediglich	ADV
803	24258	notwendig	notwendig	ADJD
804	24245	liegen	liegen	VVFIN
805	24237	danach	danach	PAV
806	24216	Seine	sein	PPOSAT
807	24213	bestimmten	bestimmt	ADJA
808	24190	Schritt	Schritt	NN
809	24169	Dort	dort	ADV
810	24158	Vergleich	Vergleich	NN
811	24025	öffentlichen	öffentlich	ADJA
812	24015	Unterstützung	Unterstützung	NN
813	23973	frei	frei	ADJD
814	23968	vgl.	vgl.	ADV
815	23960	Erfahrung	Erfahrung	NN
816	23959	Markt	Markt	NN
